precinct,registered_voters,ballots_cast,turnout,democratic_party,republican_party,libertarian_party,us_taxpayers_party,working_class_party,green_party,natural_law_party
City of Dearborn Precinct 49,0,0,0,0,0,0,0,0,0,0
City of Dearborn Precinct 50,0,0,0,0,0,0,0,0,0,0
City of Detroit AVCB 1,0,1501,0,1241,21,3,4,3,2,1
City of Detroit AVCB 2,0,2011,0,1484,75,1,8,10,2,1
City of Detroit AVCB 3,0,1894,0,1509,33,1,6,8,0,1
City of Detroit AVCB 4,0,1866,0,1414,34,3,4,6,0,1
City of Detroit AVCB 5,0,1833,0,1340,24,2,2,5,2,0
City of Detroit AVCB 6,0,2544,0,1971,65,8,6,11,6,6
City of Detroit AVCB 7,0,1900,0,1340,25,5,2,3,2,0
City of Detroit AVCB 8,0,1702,0,1319,18,4,0,2,2,0
City of Detroit AVCB 9,0,959,0,771,9,2,2,3,0,0
City of Detroit AVCB 10,0,922,0,734,6,0,0,0,2,1
City of Detroit AVCB 11,0,2135,0,1433,58,1,1,7,2,1
City of Detroit AVCB 12,0,1542,0,939,20,2,1,1,0,0
City of Detroit AVCB 13,0,1621,0,1024,19,1,0,0,2,0
City of Detroit AVCB 14,0,1764,0,1354,21,3,0,1,1,0
City of Detroit AVCB 15,0,1765,0,1437,15,0,2,7,0,0
City of Detroit AVCB 16,0,2103,0,1662,27,3,6,2,2,0
City of Detroit AVCB 17,0,2682,0,2184,56,8,7,6,3,2
City of Detroit AVCB 18,0,2096,0,1701,29,2,5,4,2,1
City of Detroit AVCB 19,0,2290,0,1796,45,5,2,10,2,1
City of Detroit AVCB 20,0,2245,0,1819,23,6,3,8,1,0
City of Detroit AVCB 21,0,2090,0,1669,28,3,1,3,4,1
City of Detroit AVCB 22,0,2419,0,2020,24,2,3,10,4,4
City of Detroit AVCB 23,0,2805,0,2205,92,4,7,4,4,3
City of Detroit AVCB 24,0,2871,0,1952,52,10,4,2,4,0
City of Detroit AVCB 25,0,3241,0,2564,123,3,6,14,8,4
City of Detroit AVCB 26,0,3380,0,2616,102,5,7,16,3,2
City of Detroit AVCB 27,0,2311,0,1860,33,1,2,7,2,0
City of Detroit AVCB 28,0,2289,0,1770,19,2,1,8,4,0
City of Detroit AVCB 29,0,2193,0,1622,56,1,1,2,2,2
City of Detroit AVCB 30,0,2133,0,1657,35,3,3,6,3,2
City of Detroit AVCB 31,0,2312,0,1798,27,6,2,9,0,3
City of Detroit AVCB 32,0,2216,0,1515,34,4,1,7,1,0
City of Detroit AVCB 33,0,0,0,0,0,0,0,0,0,0
City of Detroit AVCB 34,0,1771,0,1372,19,3,1,6,1,0
City of Detroit AVCB 35,0,1784,0,1227,39,1,1,2,2,0
City of Detroit AVCB 36,0,2894,0,2047,48,11,4,11,8,3
City of Detroit AVCB 37,0,2179,0,1801,24,5,2,9,0,2
City of Detroit AVCB 38,0,2719,0,2278,44,3,9,9,3,2
City of Detroit AVCB 39,0,2314,0,1665,55,8,3,8,1,2
City of Detroit AVCB 40,0,2182,0,1653,34,0,2,5,4,1
